a loving parent,Tell your child you love them every day
a loving parent,Make a special breakfast for your child at the weekend
a loving parent,Pick up your child from school promptly each day
an attentive friend,Call a good friend once each week
an attentive friend,Text your friend
an attentive friend,Ask your friend about his/her week 
a caring spouse,Plan something special with your partner
a caring spouse,Tell your partner you love them every day
a caring spouse,Buy your partner a surprise gift 
dependable,Arrive at work on time 
dependable,Offer to help someone who is very busy
dependable,Repay a debt 
on top of things at home,Complete a much-needed household repair 
on top of things at home,Wash your clothes or clean a few pairs of shoes
on top of things at home,Catch up with a basket of ironing
on top of things at home,Tidy a room that is needing cleaned
organised,"Before bedtime, plan what you will do tomorrow."
organised,Use a calendar or diary to record dates and meetings
organised,Sort out some important paperwork 
active,Go to the park with your child
active,Take a walk outside
active,Go for a swim / to the gym
creative,Bake a cake or some biscuits
creative,"Make something, such as a card or some craft work"
creative,Take a set of pictures about someone or something
helpful to others,Donate something you no longer need to charity 
helpful to others,Spend 30 minutes helping someone who needs it
helpful to others,Offer to help in some way at a group you belong to
able to do something new,Look up something on the internet that you have always wanted to do
able to do something new,Ask someone at work to teach you a new skill
able to do something new,Sign up for a class
more knowledgeable about the world,Read the newspaper everyday
more knowledgeable about the world,Talk about current events with someone
more knowledgeable about the world,Read a book about someone you admire 
part of the wider world,"Go to the same small shop or place most days, so someone recognizes you"
part of the wider world,Read a book about a different culture
part of the wider world,Talk to someone with a different background
physically healthy,Arrange a physical health check
physically healthy,Eat fruit everyday
physically healthy,Take your medication as prescribed
open about your feelings,Arrange to meet a friend whom you can talk to
open about your feelings,Make an appointment with a therapist 
open about your feelings,Write in a journal or diary
active about what you believe,Talk with a religious figure whom you respect
active about what you believe,Talk to others with religious beliefs you are interested in
active about what you believe,Attend a familiar religious service 
medication information,There is no evidence that antidepressants are addictive.
medication information,There is good evidence that antidepressants are effective at treating depression.
medication information,Taking antidepressants to help treat depression is no different from taking other effective treatments for other health conditions. 
medication information,It may take between two to six weeks before you feel the effects of your antidepressant treatment. Stick with it.
medication information,"In the first few weeks of taking antidepressants, it is quite common to experience some side effects like a little dizziness or reduced appetite.  This should soon settle."
medication information,"When depression improves, it is important to keep taking your antidepressants for at least six months.  This reduces the risk of another episode."
medication information,"Even when you are feeling well, keep with your antidepressant therapy for the full treatment course.  Research shows this helps reduce the risk of relapse."
medication information,"By keeping going with your antidepressant medication, you will increase the likelihood of not having another depressive episode."
medication information,Try not to miss a dose of your antidepressants as this could make them work less effectively.
medication information,"If you miss a dose of your antidepressants, take it as soon as you remember.  If it is close to your next dose, just skip the dose you missed and carry on as before."
medication information,"If you miss taking your antidepressant one day, don't take a double dose next time.  Just carry on as before."
medication information,Using the alarm function on your phone can be a useful way of reminding you to take your antidepressant each day.
medication information,"Try to take your antidepressant at the same time each day.  It can be helpful to pair this with another activity you do regularly, like eating breakfast or brushing your teeth in the morning."
medication information,Make sure you allow enough time for a GP appointment or repeat prescription request to ensure you smoothly maintain your antidepressant treatment.
medication information,"When you are on a course of antidepressants, it is important not to take herbal remedies for depression as these different preparations are not safe to take together."
medication information,"If you think your antidepressant might be causing side effects, discuss it with your doctor rather than just stopping."
attitude shifter,"It's good to set standards for myself, but they have to be reasonable not impossible."
attitude shifter,"My value as a person is about me, not what someone else thinks of me"
